site,title,company,job_url,location,date_posted,search_query,target_region,visa_sponsorship,visa_type
indeed,"Associate, Scheduling, Programming & Licensing, CPS&O, EMEA",Netflix,https://nl.indeed.com/viewjob?jk=6c07abbd732a5cdd,"Amsterdam, NH, NL",2026-07-08,Business Intelligence,Netherlands,N,Not Mentioned
indeed,Capaciteitencoördinator,Amphia Ziekenhuis,https://nl.indeed.com/viewjob?jk=dd57cffb0652efe3,"Breda, NB, NL",2026-07-08,Business Intelligence,Netherlands,N,Not Mentioned
linkedin,Senior Business Intelligence Developer,Sandvik,https://www.linkedin.com/jobs/view/4433964735,"Amsterdam, North Holland, Netherlands",2026-07-06,Business Intelligence,Netherlands,N,Not Mentioned
linkedin,Business Intelligence Engineer,VDL ETG Almelo,https://www.linkedin.com/jobs/view/4436365817,"Almelo, Overijssel, Netherlands",2026-07-02,Business Intelligence,Netherlands,N,Not Mentioned
linkedin,Business Intelligence Developer,S E Schoe BV,https://www.linkedin.com/jobs/view/4428465569,"Dordrecht, South Holland, Netherlands",2026-06-17,Business Intelligence,Netherlands,N,Not Mentioned
linkedin,Business Intelligence Specialist,Datapas B.V.,https://www.linkedin.com/jobs/view/4417065746,"Haarlem, North Holland, Netherlands",2026-05-20,Business Intelligence,Netherlands,N,Not Mentioned
linkedin,Wanted: Data junkie!,Victa - Business Intelligence,https://www.linkedin.com/jobs/view/4318429842,"Borne, Overijssel, Netherlands",2025-10-03,Business Intelligence,Netherlands,N,Not Mentioned
indeed,Business Report Analyst (Power BI Developer),makro pro,https://th.indeed.com/viewjob?jk=3bbcdb36be70afe0,"40, TH",2026-07-09,Data Analyst,Thailand,N,Not Mentioned
indeed,Business Analyst (Property & Mall),makro pro,https://th.indeed.com/viewjob?jk=511d46d22e25b8de,"40, TH",2026-07-09,Data Analyst,Thailand,N,Not Mentioned
indeed,Record to Report Ops Analyst,Accenture,https://th.indeed.com/viewjob?jk=7b9e538d7efbdcab,"40, TH",2026-07-08,Data Analyst,Thailand,N,Not Mentioned
indeed,"07 - Analyst, Operations Quality",Celestica,https://th.indeed.com/viewjob?jk=75c78d77c0d56e0b,"แหลมฉบัง, 46, TH",2026-07-08,Data Analyst,Thailand,N,Not Mentioned
indeed,Senior Business Data Officer (เจ้าหน้าที่ข้อมูลธุรกิจอาวุโส),บริษัท เดอ มอนด์ อนัณดารา จำกัด,https://th.indeed.com/viewjob?jk=ab6dd073a72bc51a,"40, TH",2026-07-08,Data Analyst,Thailand,N,Not Mentioned
linkedin,Business Intelligence (Shopee) Fresh Graduate,Shopee,https://www.linkedin.com/jobs/view/4262353945,"Bangkok, Bangkok City, Thailand",2026-07-04,Data Analyst,Thailand,N,Not Mentioned
linkedin,"Data Analyst - Fulfillment, Business Intelligence , Scommerce",Shopee,https://www.linkedin.com/jobs/view/4435070031,"Bangkok, Bangkok City, Thailand",2026-07-02,Data Analyst,Thailand,N,Not Mentioned
linkedin,"Data Analyst - Business Intelligence , Regional FBS",Shopee,https://www.linkedin.com/jobs/view/4330528115,"Bangkok, Bangkok City, Thailand",2026-06-26,Data Analyst,Thailand,N,Not Mentioned
linkedin,[TH] Business Intelligence - Fresh Graduate,Shopee,https://www.linkedin.com/jobs/view/4300405780,"Bangkok, Bangkok City, Thailand",2026-06-23,Data Analyst,Thailand,N,Not Mentioned
linkedin,Data Analyst (Fresh Graduates Welcome),N-Infinite,https://www.linkedin.com/jobs/view/4428016460,"Bangkok, Bangkok City, Thailand",2026-06-16,Data Analyst,Thailand,N,Not Mentioned
indeed,Business Report Analyst (Power BI Developer),makro pro,https://th.indeed.com/viewjob?jk=3bbcdb36be70afe0,"40, TH",2026-07-09,Analytics Engineer,Thailand,N,Not Mentioned
indeed,Data Engineer,Lumentum Operations,https://th.indeed.com/viewjob?jk=d403c3453a89bb7f,"39, TH",2026-07-07,Analytics Engineer,Thailand,N,Not Mentioned
indeed,Senior Manager - AI & Data Engineering,makro pro,https://th.indeed.com/viewjob?jk=490e623855f032a9,"40, TH",2026-07-06,Analytics Engineer,Thailand,N,Not Mentioned
indeed,AI - Data Engineer,makro pro,https://th.indeed.com/viewjob?jk=a634a2e936f36467,"40, TH",2026-07-06,Analytics Engineer,Thailand,N,Not Mentioned
indeed,Data Engineer,ExxonMobil,https://th.indeed.com/viewjob?jk=0eae022dc31a1f70,"40, TH",2026-07-06,Analytics Engineer,Thailand,N,Not Mentioned
linkedin,AI - Data Engineer,Makro PRO,https://www.linkedin.com/jobs/view/4433911979,"Bangkok, Bangkok City, Thailand",2026-07-06,Analytics Engineer,Thailand,N,Not Mentioned
linkedin,Business Intelligence (Shopee) Fresh Graduate,Shopee,https://www.linkedin.com/jobs/view/4262353945,"Bangkok, Bangkok City, Thailand",2026-07-04,Analytics Engineer,Thailand,N,Not Mentioned
linkedin,[TH] Business Intelligence - Fresh Graduate,Shopee,https://www.linkedin.com/jobs/view/4300405780,"Bangkok, Bangkok City, Thailand",2026-06-23,Analytics Engineer,Thailand,N,Not Mentioned
linkedin,Data Engineer,ExxonMobil,https://www.linkedin.com/jobs/view/4420994018,"Bangkok, Bangkok City, Thailand",2026-06-20,Analytics Engineer,Thailand,N,Not Mentioned
linkedin,Data Engineer (Data Analytics & AI Engineering Team) - Cement Business,SCG,https://www.linkedin.com/jobs/view/4426044791,"Bang Sue, Bangkok City, Thailand",2026-06-10,Analytics Engineer,Thailand,N,Not Mentioned
indeed,Business Analyst (Property & Mall),makro pro,https://th.indeed.com/viewjob?jk=511d46d22e25b8de,"40, TH",2026-07-09,Business Intelligence,Thailand,N,Not Mentioned
indeed,Business Strategy & Special Project Intern (Global Business Solutions-Scaled Growth) - 2026 Start (BS/MS),TikTok,https://th.indeed.com/viewjob?jk=0783fcb58056c988,"40, TH",2026-07-08,Business Intelligence,Thailand,N,Not Mentioned
indeed,"Key Account Manager (Fragrance), Thailand",Symrise,https://th.indeed.com/viewjob?jk=8089a1504314eb0d,"40, TH",2026-07-08,Business Intelligence,Thailand,N,Not Mentioned
indeed,Head of Procurement,Siemens,https://th.indeed.com/viewjob?jk=06330999c57ebc31,"40, TH",2026-07-08,Business Intelligence,Thailand,N,Not Mentioned
indeed,BKK Product Specialist (Psychiatry and Neurology products),"Thai-Otsuka Co.,Ltd",https://th.indeed.com/viewjob?jk=a7b31e3fec5bb290,"40, TH",2026-07-08,Business Intelligence,Thailand,N,Not Mentioned
linkedin,Business Intelligence Analyst,Minor Hotels,https://www.linkedin.com/jobs/view/4417011829,"Bangkok, Bangkok City, Thailand",2026-07-02,Business Intelligence,Thailand,N,Not Mentioned
linkedin,Manager - Business Intelligence,Makro PRO,https://www.linkedin.com/jobs/view/4308708887,"Bangkok, Bangkok City, Thailand",2026-06-20,Business Intelligence,Thailand,N,Not Mentioned
linkedin,Business Intelligence Developer,Kiatnakin Phatra Financial Group,https://www.linkedin.com/jobs/view/4428796235,"Bangkok, Bangkok City, Thailand",2026-06-18,Business Intelligence,Thailand,N,Not Mentioned
linkedin,Department Manager - Business Intelligence,Makro PRO,https://www.linkedin.com/jobs/view/4429013487,"Bangkok, Bangkok City, Thailand",2026-06-18,Business Intelligence,Thailand,N,Not Mentioned
linkedin,Data Intelligence Solutions Specialist,Rhenus Logistics,https://www.linkedin.com/jobs/view/4408285444,"Bangkok, Bangkok City, Thailand",2026-04-29,Business Intelligence,Thailand,N,Not Mentioned
